As
<2
<2
<2
<2
<2
<2
<2
<2
<2
<5
<5
<2
2.1
2.1
2.5
2.5
2.5
3
3.1
3.2
3.3
3.6
4
4.1
4.6
5
5.3
5.9
6.3
7.3
7.8
8
8.8
9
9
9.6
9.6
9.9
10
10
11
11
11
11
11
11
13
14
14
14
15
15
16
19
21
21
22
23
24
28
34
41
42
55
74
77
79
116
150
167
170
230
262
290
400
550
660
